category_name,Original,Sample_50%
0.0056818181818181,1,1
0.006060606060606,1,0
0.0063725490196078,1,0
0.0111111111111111,1,1
0.0119047619047618,1,0
0.0121794871794871,1,1
0.0166666666666666,2,0
0.0199999999999999,1,1
0.0249999999999999,2,0
0.0273809523809523,1,1
0.0285714285714285,1,1
0.0292534722222222,1,1
0.0293367346938775,1,0
0.0339285714285714,1,0
0.0366071428571428,1,1
0.0388888888888888,1,0
0.0399999999999999,1,1
0.0416666666666666,1,1
0.0422222222222222,1,1
0.0491071428571428,1,1
0.0499999999999999,3,1
0.05,2,0
0.0570454545454545,1,0
0.0620833333333333,1,0
0.0625,5,1
0.0630952380952381,1,1
0.0656249999999999,1,0
0.0678571428571428,1,1
0.0693877551020408,1,0
0.0770833333333333,1,0
0.0777777777777777,1,0
0.078125,1,0
0.0799999999999999,1,0
0.08,3,1
0.0833333333333333,5,1
0.0844444444444444,1,0
0.0880208333333333,1,1
0.0895871985157699,1,1
0.09375,1,1
0.0999999999999999,3,3
0.1,8,3
0.1028571428571428,1,1
0.1041666666666666,1,1
0.1071428571428571,1,1
0.1078795995670995,1,1
0.1080128205128205,1,0
0.11,1,0
0.1111111111111111,1,0
0.1132294372294372,1,0
0.1166666666666666,1,0
0.1191515151515151,1,1
0.12,3,1
0.1249999999999999,1,0
0.125,4,0
0.128987240829346,1,0
0.1291666666666666,1,0
0.1301948051948051,1,0
0.1333333333333333,1,1
0.1363636363636363,4,2
0.138095238095238,1,0
0.14,1,0
0.1428571428571428,4,2
0.1444444444444444,1,0
0.15,7,4
0.1503210678210678,1,1
0.1583333333333333,1,0
0.16,2,2
0.1623376623376623,1,1
0.165,1,1
0.1666666666666666,3,1
0.169047619047619,1,0
0.1709821428571428,1,0
0.17109375,1,0
0.1727272727272727,1,0
0.175,4,2
0.1766666666666666,1,1
0.18,2,0
0.184090909090909,1,1
0.1875,1,0
0.1888888888888888,1,0
0.1904761904761904,1,1
0.1916666666666666,1,1
0.1922222222222222,1,1
0.1952380952380952,1,0
0.1966666666666666,1,1
0.1999999999999999,2,1
0.2,17,9
0.2041666666666666,1,0
0.2083333333333333,1,0
0.2099999999999999,1,1
0.2163825757575757,1,1
0.2166666666666666,3,2
0.2173611111111111,1,0
0.2174663299663299,1,0
0.2249999999999999,1,1
0.225,3,2
0.2333333333333332,1,0
0.2333333333333333,1,1
0.2341666666666666,1,1
0.2346153846153846,1,1
0.2385416666666666,1,0
0.2396825396825397,1,1
0.25,17,8
0.2533333333333333,1,0
0.2559523809523809,1,1
0.2571428571428571,1,1
0.2607954545454545,1,0
0.2666666666666666,1,1
0.2674999999999999,1,0
0.2750000000000001,1,1
0.2857142857142857,5,2
0.2866666666666667,1,0
0.2875,1,0
0.2916666666666667,1,0
0.2928571428571428,1,0
0.3,10,4
0.3166666666666666,1,0
0.3181818181818182,1,1
0.325,2,2
0.33,1,0
0.3333333333333333,2,2
0.3375,1,0
0.338095238095238,1,1
0.3452380952380952,1,0
0.35,9,6
0.3571428571428571,1,1
0.3608450753348214,1,1
0.3662109375,1,0
0.3666666666666667,2,0
0.3681818181818181,1,0
0.375,1,1
0.38,1,1
0.3958333333333333,1,0
0.4,5,3
0.4000000000000001,1,1
0.425,2,1
0.4333333333333333,1,1
0.4499999999999999,1,0
0.4555555555555555,1,1
0.475,4,2
0.5,9,3
0.525,1,0
0.546875,1,0
0.55,1,0
0.55625,1,1
